2,4669
18,17864
19,252
24,1673
26,8498
29,12859
31,3136
34,15183
36,2128
38,13188
42,7798
50,1043
64,14938
75,8813
77,19418
79,3626
90,9758
100,3640
122,17549
131,7182
158,13314
165,1778
168,13944
169,15015
171,17850
176,13909
206,9205
207,11970
208,18550
209,3059
225,9674
232,2730
242,3955
244,2051
253,4046
260,12971
261,1918
264,19635
274,11809
277,16996
281,6195
289,8687
293,8400
306,12495
318,5558
323,1540
324,9121
325,17311
330,19320
331,17899
342,12040
348,2282
354,10129
360,11865
367,12201
368,2604
372,17696
377,2639
378,11935
403,4172
406,609
409,14273
410,11830
412,19852
415,9506
424,3108
430,8239
431,6545
455,11844
456,10332
457,16275
473,9667
489,14609
494,7728
498,5012
523,2618
531,15456
538,19201
543,17682
555,5663
566,3598
567,5586
578,14910
602,9282
608,19971
610,19166
613,13391
614,7301
622,15764
643,10815
646,19390
654,13860
664,840
675,19873
678,469
688,9597
700,5908
729,91
733,14525
735,8603
737,4851
738,15890
739,18585
740,805
744,9618
745,10360
750,9198
758,16072
769,3549
774,4935
781,16751
786,2821
798,2338
805,7000
811,6573
812,483
819,18830
824,10374
828,3381
838,13097
843,19005
847,7105
862,427
872,5096
875,2660
879,12992
881,8855
887,12369
894,13027
899,14798
901,16093
909,18396
910,15036
919,9268
928,5341
935,10941
949,17535
950,1036
954,14420
955,15449
959,18158
963,7406
971,6076
977,11459
981,18102
985,9695
986,14623
1023,3675
1028,13629
1037,1631
1041,15981
1056,6769
1060,11340
1061,7742
1067,8918
1071,4676
1073,19628
1077,14238
1087,6993
1090,7343
1096,3780
1111,4634
1112,16044
1113,16632
1119,13727
1120,14581
1122,14441
1126,210
1130,504
1137,3325
1139,18354
1144,9814
1151,17080
1152,9114
1163,12537
1177,11711
1187,4501
1200,17619
1201,5684
1206,14413
1215,1078
1216,16303
1217,4389
1218,6048
1251,13881
1262,12348
1264,5614
1267,10192
1276,8995
1284,1680
1294,10675
1299,18438
1304,16436
1319,16198
1330,13419
1331,14140
1333,11984
1341,560
1347,6104
1363,17892
1376,6496
1382,3430
1383,8442
1396,11347
1405,10122
1422,12558
1428,4200
1459,9093
1466,14777
1473,2443
1474,9261
1475,7588
1480,9548
1482,16163
1487,19677
1488,4368
1495,17766
1505,18095
1506,9387
1509,18060
1516,10395
1526,11221
1529,5124
1535,539
1545,3241
1550,13125
1553,12663
1559,8225
1576,19600
1586,16912
1593,7931
1603,3668
1607,9247
1616,7756
1618,5481
1622,14994
1624,10731
1625,4928
1635,11137
1648,3283
1663,11956
1667,12684
1672,10500
1675,18501
1676,18200
1679,17360
1682,2758
1685,9324
1690,16296
1692,19124
1722,5348
1731,7357
1733,6755
1757,7147
1775,6671
1777,10899
1791,4949
1792,12544
1794,8218
1796,19278
1816,4018
1819,10997
1824,5054
1833,5243
1837,17101
1860,2380
1861,7546
1864,6167
1866,15393
1867,12593
1870,18473
1872,301
1880,17542
1881,15197
1888,9842
1898,4277
1906,763
1911,12299
1926,10969
1936,15071
1938,13335
1950,9457
1967,6041
1968,8470
1976,10080
1980,16562
1984,6342
1993,8372
1995,1771
1999,11627
2004,16268
2015,19768
2020,3997
2032,13468
2035,9366
2037,3913
2051,8610
2069,6853
2072,9611
2079,19901
2108,4459
2111,17262
2124,6923
2127,18074
2129,13006
2139,5978
2145,19502
2152,8757
2156,294
2162,13076
2169,1862
2177,10416
2180,9863
2189,19411
2195,10626
2196,11473
2201,10843
2206,938
2233,17073
2236,14434
2253,770
2263,19208
2266,7140
2268,17192
2270,3731
2273,15498
2275,10045
2285,7896
2311,17843
2317,12488
2320,8981
2326,15974
2335,2828
2340,11102
2341,15316
2344,12985
2346,16422
2354,13720
2358,17003
2362,8722
2366,4067
2368,1743
2369,8694
2380,7924
2387,11389
2399,17367
2403,2723
2406,2226
2407,11557
2415,11410
2428,4984
2431,1197
2436,4487
2439,3472
2441,15946
2442,2170
2473,4053
2475,11263
2476,18613
2477,11445
2480,8204
2483,9737
2497,5145
2506,14056
2507,5565
2512,15729
2529,13804
2532,3899
2539,15925
2545,17038
2546,13587
2571,14861
2574,11900
2575,12061
2576,19936
2585,9982
2591,11753
2594,10444
2598,8113
2599,1834
2621,10171
2628,18186
2640,16401
2641,16002
2668,11774
2669,9681
2680,693
2686,15680
2694,6720
2705,6979
2716,17563
2729,7700
2738,5572
2744,9653
2772,19187
2788,4900
2798,11823
2799,1113
2801,16786
2808,7070
2848,19810
2849,8134
2867,8848
2868,13559
2879,364
2891,13951
2910,10829
2917,16037
2933,14084
2934,13363
2937,15092
2949,1267
2958,10087
2959,4662
2986,12278
2987,18753
2988,1547
2989,12012
2991,12117
3003,3822
3016,14497
3020,12194
3026,15001
3040,490
3043,3969
3047,14070
3069,7497
3082,4158
3107,12565
3115,11914
